Country,Clicks,Impressions,CTR,Position
United States,126998,2420455,5.25%,7.91
United Kingdom,21650,182778,11.84%,5.93
Mexico,4720,45583,10.35%,4.72
Germany,4150,33353,12.44%,6.18
Italy,2070,16484,12.56%,6.14
Spain,1999,17262,11.58%,6.98
Poland,1674,22369,7.48%,5.56
France,1525,14477,10.53%,6.74
Canada,1121,15800,7.09%,10
Netherlands,1028,9658,10.64%,7.89
Austria,1001,7382,13.56%,4.93
Philippines,884,40628,2.18%,6.05
Brazil,859,19150,4.49%,6.54
Switzerland,827,5943,13.92%,4.76
India,778,14479,5.37%,9.59
Argentina,778,8047,9.67%,5.42
Australia,683,7884,8.66%,7.8
Hungary,627,5625,11.15%,4.82
Ireland,616,4856,12.69%,4.82
Japan,520,4986,10.43%,4.9
Czechia,495,3942,12.56%,5.36
Israel,482,3579,13.47%,4.93
Finland,435,4267,10.19%,5.04
Belgium,390,3699,10.54%,6.29
Greece,377,3746,10.06%,5.61
Hong Kong,367,5428,6.76%,4.8
Norway,357,3597,9.92%,4.77
Russia,338,2932,11.53%,8.16
Thailand,276,3884,7.11%,8.11
Slovenia,265,2492,10.63%,3.99
Colombia,236,3762,6.27%,6.37
Costa Rica,231,2449,9.43%,4.27
Sweden,202,2071,9.75%,9.37
Chile,201,2945,6.83%,5.29
Portugal,198,1685,11.75%,6
South Africa,194,2508,7.74%,6.93
Malaysia,192,2542,7.55%,8.61
Pakistan,171,3101,5.51%,7.39
Slovakia,158,1160,13.62%,5.62
Cameroon,142,2072,6.85%,6.63
Turkey,137,2486,5.51%,9.72
Ukraine,137,1886,7.26%,12.42
Guatemala,131,1631,8.03%,4.26
Serbia,129,1137,11.35%,4.8
Romania,121,1211,9.99%,7
Iran,115,1948,5.9%,4.97
Vietnam,111,3151,3.52%,13.95
Denmark,103,836,12.32%,7.86
Bulgaria,98,825,11.88%,6.85
Taiwan,94,1045,9%,5.34
Peru,67,1202,5.57%,6.46
Latvia,67,466,14.38%,4.2
New Zealand,66,819,8.06%,11.28
Croatia,63,687,9.17%,5
Albania,62,623,9.95%,4.57
Bosnia & Herzegovina,60,678,8.85%,4.63
Ecuador,58,1182,4.91%,7.08
United Arab Emirates,50,1864,2.68%,4.93
Dominican Republic,49,907,5.4%,5.8
Puerto Rico,49,762,6.43%,4.99
Morocco,45,1024,4.39%,9.97
Uruguay,45,361,12.47%,6.02
China,43,1043,4.12%,6.66
Singapore,40,1190,3.36%,5.98
Honduras,38,559,6.8%,4.57
Lithuania,37,397,9.32%,6.14
Trinidad & Tobago,35,694,5.04%,5.93
Malta,35,209,16.75%,7.72
Guam,35,193,18.13%,3.41
Georgia,34,411,8.27%,6.22
Indonesia,33,2635,1.25%,14.18
Saudi Arabia,30,1448,2.07%,10.93
Luxembourg,29,227,12.78%,4.4
Egypt,28,746,3.75%,13.15
South Korea,26,989,2.63%,11.45
El Salvador,25,489,5.11%,5.2
Aruba,25,347,7.2%,4.59
Panama,23,324,7.1%,7.71
Kosovo,23,322,7.14%,5.11
Cyprus,23,301,7.64%,4.89
Bangladesh,17,1217,1.4%,13.49
Jordan,17,334,5.09%,12.39
Sri Lanka,17,322,5.28%,6.81
Paraguay,17,313,5.43%,6.85
Estonia,17,205,8.29%,7.06
Nicaragua,15,209,7.18%,4.47
Moldova,14,149,9.4%,7.93
Jamaica,13,314,4.14%,6.04
Cambodia,12,270,4.44%,7.43
Iraq,11,409,2.69%,12.68
Qatar,10,202,4.95%,7.31
Bermuda,10,74,13.51%,5.24
Nigeria,9,731,1.23%,7.75
Macedonia,9,123,7.32%,5.21
Iceland,9,113,7.96%,6.23
U.S. Virgin Islands,9,86,10.47%,3.45
Kenya,8,430,1.86%,8.47
Bahamas,8,229,3.49%,5.74
Tunisia,8,227,3.52%,8.8
French Polynesia,8,39,20.51%,4.05
Venezuela,7,486,1.44%,9.99
Belarus,7,193,3.63%,9.89
Armenia,7,104,6.73%,7.41
Montenegro,7,75,9.33%,5.24
Papua New Guinea,6,225,2.67%,5.73
Azerbaijan,6,115,5.22%,7.62
Kyrgyzstan,6,72,8.33%,10.06
Cayman Islands,6,58,10.34%,6.47
Guadeloupe,6,31,19.35%,3.97
Bolivia,5,235,2.13%,7.15
Andorra,5,52,9.62%,6.25
Palestine,4,137,2.92%,6.38
Belize,4,97,4.12%,6.04
Guyana,4,93,4.3%,5.48
Brunei,4,57,7.02%,5.86
Northern Mariana Islands,4,28,14.29%,4.29
Antigua & Barbuda,4,23,17.39%,4.09
Algeria,3,500,0.6%,16.52
Uganda,3,160,1.88%,7.47
Tanzania,3,76,3.95%,6.71
Zimbabwe,3,63,4.76%,8.27
Sint Maarten,3,50,6%,5.16
Isle of Man,3,36,8.33%,4.75
Jersey,3,31,9.68%,4.94
Réunion,3,27,11.11%,5.48
Dominica,3,19,15.79%,4.79
Grenada,3,14,21.43%,3.43
St. Martin,3,14,21.43%,7.14
Nepal,2,219,0.91%,7.08
Kazakhstan,2,207,0.97%,10.09
Kuwait,2,146,1.37%,8.4
Uzbekistan,2,145,1.38%,12.3
Ethiopia,2,142,1.41%,12.51
Macau,2,82,2.44%,4.45
Unknown Region,2,74,2.7%,16.46
Senegal,2,55,3.64%,9.02
Côte d’Ivoire,2,40,5%,7.85
Somalia,2,38,5.26%,7.84
St. Lucia,2,26,7.69%,5.31
Fiji,2,26,7.69%,5.38
St. Kitts & Nevis,2,24,8.33%,3.83
Turks & Caicos Islands,2,22,9.09%,5.77
Martinique,2,17,11.76%,5
Greenland,2,9,22.22%,10.11
Oman,1,215,0.47%,15.85
Ghana,1,175,0.57%,7.45
Lebanon,1,141,0.71%,8.51
Bahrain,1,106,0.94%,9
Cuba,1,96,1.04%,5.33
Congo - Kinshasa,1,46,2.17%,5.33
Libya,1,44,2.27%,11.45
Laos,1,36,2.78%,4.69
Seychelles,1,34,2.94%,6.53
Suriname,1,25,4%,4.52
Curaçao,1,22,4.55%,10.27
Namibia,1,19,5.26%,16.53
Turkmenistan,1,16,6.25%,3.94
Congo - Brazzaville,1,12,8.33%,14.5
St. Barthélemy,1,10,10%,4.5
British Virgin Islands,1,10,10%,4.7
American Samoa,1,10,10%,5.9
Vanuatu,1,9,11.11%,7.33
Bhutan,1,8,12.5%,21
Myanmar (Burma),0,81,0%,6.68
Barbados,0,76,0%,7.63
Mauritius,0,65,0%,5.51
Syria,0,63,0%,11.17
Mongolia,0,58,0%,12
Zambia,0,57,0%,6.96
Afghanistan,0,55,0%,9.27
South Sudan,0,45,0%,4.27
Maldives,0,43,0%,8.23
Angola,0,39,0%,11.28
Haiti,0,33,0%,6.45
Malawi,0,27,0%,3.93
Yemen,0,26,0%,11.04
Rwanda,0,26,0%,11.65
Liechtenstein,0,24,0%,6.62
Madagascar,0,19,0%,14.26
Benin,0,18,0%,7
Mauritania,0,16,0%,6.31
Gabon,0,16,0%,10.75
Solomon Islands,0,15,0%,4.27
Liberia,0,15,0%,5.67
Mozambique,0,15,0%,6.67
Gambia,0,14,0%,4.57
Burkina Faso,0,13,0%,20.77
St. Vincent & Grenadines,0,12,0%,3.92
Samoa,0,11,0%,2.64
French Guiana,0,10,0%,3.7
Monaco,0,10,0%,5.2
Botswana,0,10,0%,9.2
Swaziland,0,10,0%,9.3
Guinea,0,10,0%,14
Cape Verde,0,9,0%,5.89
Gibraltar,0,9,0%,5.89
Togo,0,8,0%,14.25
Caribbean Netherlands,0,7,0%,5
Sudan,0,7,0%,7
Tajikistan,0,6,0%,5.17
Guernsey,0,5,0%,3
Marshall Islands,0,5,0%,3
Palau,0,5,0%,3.2
Western Sahara,0,5,0%,12.2
Burundi,0,5,0%,15.6
Sierra Leone,0,5,0%,19.8
Mali,0,5,0%,23.2
San Marino,0,4,0%,5
Anguilla,0,4,0%,7.75
Comoros,0,3,0%,5
Micronesia,0,3,0%,6.33
Lesotho,0,3,0%,29
Kiribati,0,2,0%,3
Djibouti,0,2,0%,5
Faroe Islands,0,2,0%,5.5
Eritrea,0,2,0%,6.5
Niger,0,2,0%,6.5
New Caledonia,0,2,0%,7.5
Cook Islands,0,2,0%,8
Chad,0,2,0%,9
Central African Republic,0,1,0%,2
St. Helena,0,1,0%,2
North Korea,0,1,0%,4
Mayotte,0,1,0%,6
Åland Islands,0,1,0%,7
Equatorial Guinea,0,1,0%,10
Antarctica,0,1,0%,33
