Top pages,Clicks,Impressions,CTR,Position
https://www.jungleboys.com/,68754,1291350,5.32%,6.38
https://www.jungleboys.com/menu/jungle-boys-dtla,17155,244062,7.03%,5.11
https://www.jungleboys.com/menu/jungle-boys-pomona,14489,146491,9.89%,4.18
https://www.jungleboys.com/menu/jungle-boys-orange-county,11250,207348,5.43%,5.74
https://www.jungleboys.com/menu/jungle-boys-san-diego?utm_source=gmb&utm_medium=organic,7672,62278,12.32%,5.24
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix,7582,116970,6.48%,7.18
https://www.jungleboys.com/menu/california/san-diego,6802,60956,11.16%,7.48
https://www.jungleboys.com/menu/california/pomona,6575,51897,12.67%,4.13
https://www.jungleboys.com/menu/california/orange-county,4108,48859,8.41%,4.78
https://www.jungleboys.com/menu/jungle-boys-san-diego,4050,125477,3.23%,4.4
https://www.jungleboys.com/menu/florida/jungle-boys-bonita-springs?dtche%5Bcategory%5D=vaporizers,3148,44884,7.01%,6.27
https://www.jungleboys.com/verify,2960,22221,13.32%,3.74
https://www.jungleboys.com/menu/california/downtown-los-angeles,2032,27531,7.38%,4.12
https://www.jungleboys.com/menu/florida/deerfield-beach,1599,124860,1.28%,7.08
https://www.jungleboys.com/locations,802,80246,1%,5.19
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach,469,48332,0.97%,10.2
https://www.jungleboys.com/menu/florida/jungle-boys-ocala,374,44520,0.84%,5.69
https://www.jungleboys.com/menu/florida/jungle-boys-orlando,363,54829,0.66%,6.15
https://www.jungleboys.com/menu/florida/jungle-boys-bonita-springs,302,48402,0.62%,6.4
https://www.jungleboys.com/menu/jungle-boys-dtla/category/flower,288,22928,1.26%,7.78
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bproduct%5D=jungle-cake-thca-1g,281,1357,20.71%,4.06
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=motor-breath-live-rosin-vape-pen-61266,279,1640,17.01%,5.94
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=pop-rockets-premium-flower,275,4468,6.15%,6.34
https://www.jungleboys.com/phenos,261,50652,0.52%,4.81
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=puro-loco-live-rosin-vape-pen,261,1898,13.75%,4.99
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bproduct%5D=adl-rtz-3-5g,259,21130,1.23%,6.29
https://www.jungleboys.com/menu/florida/jungle-boys-ocala?dtche%5Bpath%5D=products/concentrates/hash,248,4174,5.94%,10.32
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=motor-breath-premium-flower,241,2889,8.34%,12.86
https://www.jungleboys.com/menu/florida/jungle-boys-ocala?dtche%5Bproduct%5D=zazooka-premium-flower,238,3129,7.61%,3.96
https://www.jungleboys.com/menu/florida/jungle-boys-daytona-beach?utm_source=FLDispensaries.com&utm_medium=CPC&utm_campaign=FLDTrial&utm_id=LiveMenuConnect,227,40760,0.56%,6.06
https://www.jungleboys.com/menu/florida/jungle-boys-north-miami-beach?dtche%5Bproduct%5D=chocolate-chips-live-rosin-vape-pen,224,1329,16.85%,4.19
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=blu-zerdz-premium-flower,221,2676,8.26%,4.87
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=rs1000-premium-flower,215,6705,3.21%,6.39
https://www.jungleboys.com/menu/jungle-boys-dtla/category/pre_rolls,203,6824,2.97%,10.28
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=blu-frootz-premium-flower,200,4842,4.13%,7.08
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=trop-cherry-premium-flower,194,1615,12.01%,5.31
https://www.jungleboys.com/menu/california/pomona?dtche%5Bpath%5D=specials,185,2510,7.37%,6.54
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=raspado-premium-flower,177,2309,7.67%,5.47
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bpath%5D=specials,149,9071,1.64%,10.14
https://www.jungleboys.com/menu/florida/ocala,137,38624,0.35%,13.58
https://www.jungleboys.com/menu/florida/jungle-boys-north-miami-beach?dtche%5Bproduct%5D=white-gummiez-premium-flower,127,2050,6.2%,15.33
https://www.jungleboys.com/about,126,45987,0.27%,4.23
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bpath%5D=specials,123,18228,0.67%,9.3
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=blam-premium-flower,123,4749,2.59%,5.94
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=zourz-premium-flower,122,5949,2.05%,7.71
https://www.jungleboys.com/menu/california/downtown-los-angeles?dtche%5Bpath%5D=brands/jungle-boys,117,3567,3.28%,5.37
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=chocolate-chips-live-rosin-vape-pen,116,955,12.15%,5.02
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bpath%5D=products/concentrates/hash,115,2382,4.83%,9.33
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bpath%5D=products/vaporizers/disposables,113,5617,2.01%,9.96
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=strawberry-runtz-premium-flower,113,2705,4.18%,10.79
https://www.jungleboys.com/wholesale,112,46654,0.24%,4.82
https://www.jungleboys.com/menu/florida/jungle-boys-north-miami-beach?dtche%5Bpath%5D=products/concentrates/hash,112,2147,5.22%,13.5
https://www.jungleboys.com/menu/florida/miami,106,23736,0.45%,12.75
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bproduct%5D=coma-premium-flower,106,2315,4.58%,6.06
https://www.jungleboys.com/menu/florida/tampa,105,31799,0.33%,8.78
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bpath%5D=products/vaporizers/live-resin,102,2731,3.73%,7.95
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bpath%5D=products/vaporizers/disposables,101,10144,1%,11.11
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=deep-visions-9-premium-flower,101,1765,5.72%,3.95
https://www.jungleboys.com/menu/florida/jungle-boys-west-palm-beach?dtche%5Bproduct%5D=chocolate-chips-premium-flower,100,989,10.11%,5.43
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bproduct%5D=vanilla-velvet-live-rosin-vape-pen,100,735,13.61%,4.85
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=blu-frootz-premium-flower,96,741,12.96%,4.38
https://www.jungleboys.com/menu/florida/miami-beach,94,14829,0.63%,10.91
https://www.jungleboys.com/menu/california/downtown-los-angeles?dtche%5Bpath%5D=specials,94,1954,4.81%,17.04
https://www.jungleboys.com/menu/florida/jungle-boys-north-miami-beach?dtche%5Bproduct%5D=vanilla-velvet-live-rosin-vape-pen,93,1034,8.99%,6.48
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=zangria-premium-flower,88,1465,6.01%,5.65
https://www.jungleboys.com/menu/florida/jungle-boys-west-palm-beach?utm_source=FLDispensaries.com&utm_medium=CPC&utm_campaign=FLDTrial&utm_id=LiveMenuConnect,87,17670,0.49%,7.97
https://www.jungleboys.com/menu/jungle-boys-san-diego/?dtche%5Bproduct%5D=stiiizy-pineapple-express-pod,87,3190,2.73%,7.66
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bproduct%5D=big-league-choo-premium-flower,85,734,11.58%,4.95
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bproduct%5D=pink-cadillac-premium-flower,84,2480,3.39%,7.4
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bpath%5D=brands/puffco,84,1842,4.56%,13.07
https://www.jungleboys.com/menu/florida/jungle-boys-jacksonville?utm_source=FLDispensaries.com&utm_medium=CPC&utm_campaign=FLDTrial&utm_id=LiveMenuConnect,82,25200,0.33%,7.41
https://www.jungleboys.com/menu/florida/jungle-boys-north-miami-beach?dtche%5Bproduct%5D=legend-og-premium-flower,82,1277,6.42%,7.33
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bpath%5D=products/vaporizers/disposables,79,4481,1.76%,7.04
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=vanilla-velvet-live-rosin-vape-pen,79,1242,6.36%,5.13
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bproduct%5D=pink-cadillac-live-rosin-vape-pen,79,915,8.63%,4.8
https://www.jungleboys.com/menu/jungle-boys-san-diego/?dtche%5Bproduct%5D=flavorade-sfv-og-1g-cartridge,78,2317,3.37%,6.11
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=florida-haze-piatella,73,17030,0.43%,32.15
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bpath%5D=brands/just-flower,73,3226,2.26%,6.44
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bpath%5D=products/concentrates/hash,73,1653,4.42%,10.3
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bpath%5D=collection/de8d46e6-81e7-4852-afd8-74c51ca93541,72,8117,0.89%,6.37
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bpath%5D=collection/ecb9c8c2-8cf4-449a-8474-3decdff6f712,69,25230,0.27%,6.92
https://www.jungleboys.com/menu/florida/jungle-boys-ocala?dtche%5Bproduct%5D=strawberry-waffles-premium-pre-roll,69,466,14.81%,4.39
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bproduct%5D=silver-project-7g,68,1965,3.46%,5.62
https://www.jungleboys.com/menu/florida/jungle-boys-jacksonville?dtche%5Bproduct%5D=lemon-cherry-watermelon-premium-flower,68,1073,6.34%,5.46
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bproduct%5D=orange-apricot-live-rosin-vape-pen,67,488,13.73%,6.27
https://www.jungleboys.com/app,67,277,24.19%,2.72
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=vanilla-velvet-premium-flower,66,3464,1.91%,6.98
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bcategory%5D=vaporizers,66,2905,2.27%,12.53
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bproduct%5D=rgxtw-14g,66,2407,2.74%,2.84
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=spanish-honey-11-premium-flower,66,1522,4.34%,4.06
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bpath%5D=products/concentrates/wax,65,2039,3.19%,8.19
https://www.jungleboys.com/menu/jungle-boys-san-diego/?dtche%5Bproduct%5D=cake-kiwi-burst-1g-disposable,63,1950,3.23%,6.34
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=i-95-x-permanent-marker-premium-flower,63,1515,4.16%,5.73
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=jelly-donut-premium-flower,62,1778,3.49%,6.59
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=zourz-premium-flower,61,2315,2.63%,5.08
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=sfv-x-tk-cured-resin-vape-pen,60,1390,4.32%,5.84
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bproduct%5D=paki-x-the-soap-14g,60,1125,5.33%,6.54
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bproduct%5D=lemon-poppers-3-5g,58,1957,2.96%,6.48
https://www.jungleboys.com/menu/florida/jungle-boys-ocala?dtche%5Bproduct%5D=mimosa-premium-flower,58,356,16.29%,5.85
https://www.jungleboys.com/menu/florida/orlando,57,16118,0.35%,12.52
https://www.jungleboys.com/menu/florida/jungle-boys-ocala?dtche%5Bproduct%5D=pop-rockets-premium-flower,57,1322,4.31%,7.1
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=the-one-piatella,56,3525,1.59%,20.13
https://www.jungleboys.com/menu/florida/west-palm-beach,55,18263,0.3%,10.23
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=applez-11-premium-flower,55,1529,3.6%,4.9
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=deep-visions-1-premium-flower,55,1148,4.79%,4.17
https://www.jungleboys.com/menu/california/downtown-los-angeles?dtche%5Bpath%5D=info,54,3405,1.59%,9.38
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bproduct%5D=lemon-cherry-gelato-a-3-5g-32646,54,1032,5.23%,6.43
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bproduct%5D=i-95-x-permanent-marker-premium-flower,54,1021,5.29%,6.07
https://www.jungleboys.com/menu/florida/jungle-boys-ocala?dtche%5Bproduct%5D=vanilla-velvet-live-rosin-vape-pen,54,450,12%,5.27
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bpath%5D=products/vaporizers/live-rosin-disposable,53,6238,0.85%,26.21
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=green-apple-100mg-rosin-chews-10pk,53,2793,1.9%,7.39
https://www.jungleboys.com/menu/florida/jungle-boys-ocala?dtche%5Bproduct%5D=puro-loco-live-rosin-vape-pen,53,951,5.57%,8.03
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bcategory%5D=pre-rolls,52,3292,1.58%,11.13
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bpath%5D=brands/mfused-super-fog-vibes,52,3016,1.72%,7.59
https://www.jungleboys.com/menu/florida/jungle-boys-north-miami-beach?dtche%5Bpath%5D=products/vaporizers/disposables,51,2512,2.03%,12.84
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=la-kush-cake-premium-flower,51,1237,4.12%,8.16
https://www.jungleboys.com/menu/california/san-diego?dtche%5Bproduct%5D=teds-budz-sticky-tits-hybrid-flower-3-5g,51,669,7.62%,6.07
https://www.jungleboys.com/menu/florida/daytona-beach,50,18420,0.27%,9.8
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bpath%5D=products/vaporizers/cartridges,50,3614,1.38%,7.11
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bcategory%5D=pre-rolls,49,2173,2.25%,10.53
https://www.jungleboys.com/menu/florida/jungle-boys-ocala?dtche%5Bcategory%5D=vaporizers,49,1870,2.62%,9.03
https://www.jungleboys.com/menu/florida/tampa?dtche%5Bproduct%5D=zazooka-premium-flower,49,1150,4.26%,5.63
https://www.jungleboys.com/menu/jungle-boys-san-diegohttps://www.wellgreens.store/location/la-mesa?utm_source=google&utm_medium=organic&utm_campaign=gbp,49,380,12.89%,5.04
https://www.jungleboys.com/menu/california/orange-county?dtche%5Bproduct%5D=jungle-boys-wz-40-3-5g-gold-mylar,49,229,21.4%,2.44
https://www.jungleboys.com/menu/florida/jacksonville,48,24022,0.2%,8.04
https://www.jungleboys.com/menu/florida/jungle-boys-north-miami-beach?dtche%5Bproduct%5D=g-ride-premium-flower,48,2200,2.18%,7.49
https://www.jungleboys.com/menu/florida/jungle-boys-west-palm-beach?dtche%5Bproduct%5D=vanilla-velvet-premium-flower,48,1717,2.8%,6.07
https://www.jungleboys.com/menu/florida/jungle-boys-miami-beach?dtche%5Bproduct%5D=la-kush-cake-live-rosin-vape-pen-41344,47,3370,1.39%,24.18
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=vanilla-velvet-premium-flower,47,2543,1.85%,7.46
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=coma-cured-resin-vape-pen,47,1011,4.65%,5.95
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?dtche%5Bproduct%5D=strawnana-premium-flower,47,760,6.18%,10.95
https://www.jungleboys.com/menu/florida/jungle-boys-palm-harbor?utm_source=FLDispensaries.com&utm_medium=CPC&utm_campaign=FLDTrial&utm_id=LiveMenuConnect,46,15371,0.3%,9.98
https://www.jungleboys.com/menu/florida/bonita-springs,46,13124,0.35%,10.98
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bpath%5D=specials,46,4942,0.93%,10.51
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bpath%5D=brands/wizard-trees,46,2112,2.18%,4.24
https://www.jungleboys.com/menu/arizona/jungle-boys-phoenix?dtche%5Bpath%5D=brands/blueprint-cannabis-co,46,1966,2.34%,6.91
https://www.jungleboys.com/menu/florida/deerfield-beach?dtche%5Bproduct%5D=chocolate-chips-live-rosin-vape-pen,46,976,4.71%,7.28
https://www.jungleboys.com/menu/florida/jungle-boys-orlando?dtche%5Bproduct%5D=sherbanger-premium-flower,46,511,9%,5.07
